[2024-01-02T19:46:37.503+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.510+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.515+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.521+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.527+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.533+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.539+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.544+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.551+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.557+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.563+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.569+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.575+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.580+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.586+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.591+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.597+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.603+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.610+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.616+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.622+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.628+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.633+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.639+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.645+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.650+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.655+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.661+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.666+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.672+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.677+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.682+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.687+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.692+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.698+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.703+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.708+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.714+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.719+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.724+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.730+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.735+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.740+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.745+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.751+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.756+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.761+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.766+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.772+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.777+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.783+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
